UF,MUNICIPIO,ZONA,ELEITORES_TOTAL,ELEITORES_FEMININO,ELEITORES_MASCULINO,SECOES
PE,Catende,43,25774,13714,12060,86
PE,Cedro,76,10006,5113,4893,29
PE,Chã Grande,31,18553,9770,8783,54
PE,Chã de Alegria,21,11393,6009,5384,37
PE,Condado,125,19284,10338,8946,56
PE,Correntes,59,14524,7545,6979,42
PE,Cortês,28,11014,5704,5310,48
PE,Cumaru,91,14237,7396,6841,57
PE,Cupira,86,19463,10623,8840,66
PE,Custódia,65,29738,15656,14082,84
PE,Dormentes,107,15755,7932,7823,49
PE,Escada,19,47810,25301,22509,185
PE,Exu,79,28611,14953,13658,85
PE,Feira Nova,135,17605,9553,8052,62
PE,Fernando de Noronha,4,3532,1746,1786,9
PE,Ferreiros,27,10013,5190,4823,29
PE,Flores,67,16313,8518,7795,62
PE,Floresta,72,25104,13192,11912,77
PE,Frei Miguelinho,46,12587,6521,6066,50
PE,Gameleira,28,14749,7761,6988,48
PE,Garanhuns,56,96990,53489,43501,288
PE,Glória do Goitá,21,22976,12189,10787,66
PE,Goiana,25,65903,34667,31236,206
PE,Granito,80,6764,3391,3373,23
PE,Gravatá,30,66668,35599,31069,196
PE,Iati,136,16130,8369,7761,48
PE,Ibimirim,128,21627,11269,10358,77
PE,Ibirajuba,48,6717,3339,3378,25
PE,Igarassu,85,88939,47341,41598,247
PE,Iguaracy,66,9021,4570,4451,38
PE,Ilha de Itamaracá,131,18249,9501,8748,51
PE,Inajá,63,15540,7952,7588,45
PE,Ingazeira,50,4206,2056,2150,16
PE,Ipojuca,16,87955,45970,41985,262
PE,Ipubi,133,24275,12629,11646,67
PE,Itacuruba,73,4786,2479,2307,18
PE,Itambé,27,24063,12660,11403,80
PE,Itapetim,99,11780,6134,5646,38
PE,Itapissuma,131,21194,11281,9913,60
PE,Itaquitinga,125,12502,6330,6172,41
PE,Itaíba,143,20711,10751,9960,68
PE,Jaboatão dos Guararapes,11,116187,62219,53968,324
PE,Jaboatão dos Guararapes,101,121603,67272,54331,323
PE,Jaboatão dos Guararapes,118,130421,70541,59880,358
PE,Jaboatão dos Guararapes,147,124461,67579,56882,328
PE,Jaqueira,43,9126,4742,4384,30
PE,Jataúba,54,15613,7935,7678,50
PE,Jatobá,89,11460,6043,5417,37
PE,Joaquim Nabuco,38,13946,7236,6710,44
PE,João Alfredo,88,24412,12935,11477,77
PE,Jucati,92,10033,5171,4862,34
PE,Jupi,92,12716,6834,5882,49
PE,Jurema,94,12137,6262,5875,36
PE,Lagoa Grande,137,20210,10371,9839,66
PE,Lagoa de Itaenga,135,18118,9576,8542,56
PE,Lagoa do Carro,20,15536,8209,7327,44
PE,Lagoa do Ouro,59,12022,6190,5832,35
PE,Lagoa dos Gatos,86,11017,5796,5221,43
PE,Lajedo,94,31738,17414,14324,91
PE,Limoeiro,24,44831,24393,20438,165
PE,Macaparana,90,19771,10489,9282,67
PE,Machados,88,10868,5755,5113,37
PE,Manari,63,13926,7227,6699,45
PE,Maraial,43,7940,4082,3858,40
PE,Mirandiba,69,11846,6163,5683,35
PE,Moreilândia,79,9751,4894,4857,32
PE,Moreno,14,48433,25462,22971,139
PE,Nazaré da Mata,23,25485,13727,11758,81
PE,Olinda,10,97423,54410,43013,296
PE,Olinda,100,100619,55471,45148,307
PE,Olinda,117,100403,55293,45110,294
PE,Orobó,33,17914,9388,8526,70
PE,Orocó,77,12111,6243,5868,41
PE,Ouricuri,82,47826,24885,22941,152
PE,Palmares,37,40250,21709,18541,128
PE,Palmeirina,59,6598,3470,3128,24
PE,Panelas,47,19325,10171,9154,77
PE,Paranatama,92,11642,6055,5587,50
PE,Parnamirim,78,18466,9265,9201,68
PE,Passira,91,25947,13645,12302,79
PE,Paudalho,17,45079,23518,21561,143
PE,Paulista,12,72970,39991,32979,209
PE,Paulista,114,83584,46209,37375,259
PE,Paulista,146,76183,42137,34046,205
PE,Pedra,58,18429,9479,8950,66
PE,Pesqueira,55,51636,27965,23671,178
PE,Petrolina,83,79169,42832,36337,235
PE,Petrolina,144,77102,42137,34965,237
PE,Petrolina,145,84242,45568,38674,247
PE,Petrolândia,70,25894,13664,12230,87
PE,Pombos,102,20142,10685,9457,73
PE,Poção,55,10359,5479,4880,31
PE,Primavera,31,10836,5441,5395,32
PE,Quipapá,47,15273,8117,7156,61
PE,Quixaba,98,6117,3095,3022,21
PE,Recife,1,115546,64554,50992,318
PE,Recife,2,107669,59419,48250,316
PE,Recife,3,113717,62668,51049,330
PE,Recife,4,108607,60154,48453,345
PE,Recife,5,113330,62235,51095,318
PE,Recife,6,106435,58154,48281,306
PE,Recife,7,109980,61610,48370,312
PE,Recife,8,105384,58623,46761,314
PE,Recife,9,113415,62204,51211,306
PE,Recife,149,110795,61740,49055,321
PE,Recife,150,108636,60873,47763,334
PE,Riacho das Almas,41,20712,10683,10029,66
PE,Ribeirão,28,28128,15017,13111,99
PE,Rio Formoso,26,16787,8667,8120,62
PE,Sairé,132,11160,5739,5421,49
PE,Salgadinho,88,7044,3662,3382,23
PE,Salgueiro,75,42406,22607,19799,133
PE,Saloá,136,13459,7280,6179,53
PE,Sanharó,45,15961,8425,7536,44
PE,Santa Cruz,82,12519,6235,6284,37
PE,Santa Cruz da Baixa Verde,71,9787,5133,4654,27
PE,Santa Cruz do Capibaribe,109,64289,34433,29856,186
PE,Santa Filomena,82,11953,5807,6146,35
PE,Santa Maria da Boa Vista,81,30016,15516,14500,99
PE,Santa Maria do Cambucá,46,11309,5937,5372,34
PE,Santa Terezinha,99,7915,4195,3720,30
PE,Serra Talhada,71,62252,33604,28648,193
PE,Serrita,76,16817,8509,8308,51
PE,Sertânia,62,27296,14200,13096,110
PE,Sirinhaém,26,28234,14459,13775,87
PE,Solidão,98,5490,2743,2747,20
PE,Surubim,34,47673,25901,21772,148
PE,São Benedito do Sul,47,7798,4030,3768,27
PE,São Bento do Una,52,37843,19480,18363,118
PE,São Caitano,44,30502,16010,14492,109
PE,São Joaquim do Monte,132,17303,8951,8352,65
PE,São José da Coroa Grande,42,17743,9236,8507,53
PE,São José do Belmonte,74,27892,14236,13656,93
PE,São José do Egito,68,23763,12735,11028,83
PE,São João,116,17772,9493,8279,52
PE,São Lourenço da Mata,13,82684,44610,38074,250
PE,São Vicente Férrer,90,14357,7527,6830,43
PE,Tabira,50,21005,11001,10004,78
PE,Tacaimbó,44,10785,5638,5147,43
PE,Tacaratu,89,18025,9108,8917,63
PE,Tamandaré,26,20102,10478,9624,54
PE,Taquaritinga do Norte,51,21923,11461,10462,72
PE,Terezinha,61,6473,3348,3125,22
PE,Terra Nova,78,8847,4252,4595,36
PE,Timbaúba,36,41802,22429,19373,139
PE,Toritama,112,34547,17949,16598,101
PE,Tracunhaém,23,11887,6308,5579,34
PE,Trindade,133,24464,12845,11619,70
PE,Triunfo,67,11872,6338,5534,40
PE,Tupanatinga,143,16295,8491,7804,58
PE,Tuparetama,68,7903,4112,3791,33
PE,Venturosa,120,14534,7654,6880,40
PE,Verdejante,75,8290,4260,4030,31
PE,Vertente do Lério,34,8210,4261,3949,25
PE,Vertentes,46,16259,8560,7699,54
PE,Vicência,90,21872,11494,10378,74
PE,Vitória de Santo Antão,18,80646,43890,36756,272
PE,Vitória de Santo Antão,102,21825,11773,10052,56
PE,Xexéu,38,10884,5879,5005,35
PE,Água Preta,38,19929,10548,9381,71
PE,Águas Belas,64,34679,18278,16401,118
PI,Acauã,38,6256,3090,3166,31
PI,Agricolândia,30,5471,2844,2627,23
PI,Alagoinha do Piauí,29,6133,3078,3055,26
PI,Alegrete do Piauí,40,4494,2279,2215,23
PI,Alto Longá,47,12648,6302,6346,58
PI,Altos,32,35651,18606,17045,138
PI,Alvorada do Gurguéia,59,4607,2207,2400,19
PI,Amarante,8,15774,8237,7537,75
PI,Angical do Piauí,43,6537,3455,3082,38
PI,Antônio Almeida,14,3044,1489,1555,16
PI,Anísio de Abreu,79,6894,3446,3448,34
PI,Aroazes,89,5552,2860,2692,27
PI,Aroeiras do Itaim,10,4300,2112,2188,18
PI,Arraial,61,4261,2192,2069,23
PI,Assunção do Piauí,39,7533,3687,3846,34
PI,Avelino Lopes,88,9432,4733,4699,35
PI,Baixa Grande do Ribeiro,44,11362,5498,5864,40
PI,Barra D'Alcântara,48,3555,1891,1664,15
PI,Barras,6,37474,19130,18344,156
PI,Barreiras do Piauí,35,3671,1731,1940,19
PI,Barro Duro,74,6319,3328,2991,31
PI,Batalha,45,22090,11275,10815,103
PI,Bela Vista do Piauí,37,3374,1662,1712,18
PI,Belém do Piauí,68,3127,1570,1557,14
PI,Beneditinos,47,9457,4829,4628,46
PI,Bertolínia,67,4930,2461,2469,25
PI,Betânia do Piauí,38,5606,2797,2809,24
PI,Boa Hora,6,6685,3286,3399,23
PI,Bocaina,28,5706,2914,2792,27
PI,Bom Jesus,15,19331,10064,9267,83
PI,Bom Princípio do Piauí,33,6707,3300,3407,36
PI,Bonfim do Piauí,95,4931,2464,2467,21
PI,Boqueirão do Piauí,71,5884,2960,2924,24
PI,Brasileira,11,8637,4282,4355,36
PI,Brejo do Piauí,36,3796,1897,1899,18
PI,Buriti dos Lopes,33,17370,8864,8506,82
PI,Buriti dos Montes,34,6817,3302,3515,33
PI,Cabeceiras do Piauí,6,9721,4862,4859,36
PI,Cajazeiras do Piauí,94,3716,1824,1892,19
PI,Cajueiro da Praia,91,7434,3670,3764,34
PI,Caldeirão Grande do Piauí,40,5098,2497,2601,24
PI,Campinas do Piauí,90,5385,2659,2726,25
PI,Campo Alegre do Fidalgo,69,4451,2148,2303,20
PI,Campo Grande do Piauí,19,5277,2670,2607,23
PI,Campo Largo do Piauí,49,5738,2894,2844,23
PI,Campo Maior,7,18979,10058,8921,100
PI,Campo Maior,96,16274,8711,7563,87
PI,Canavieira,25,3471,1642,1829,15
PI,Canto do Buriti,36,15937,8052,7885,72
PI,Capitão Gervásio Oliveira,69,4011,1927,2084,21
PI,Capitão de Campos,71,10259,5247,5012,46
PI,Caracol,79,8298,4139,4159,40
PI,Caraúbas do Piauí,33,5262,2585,2677,25
PI,Caridade do Piauí,56,4943,2408,2535,19
PI,Castelo do Piauí,34,16615,8578,8037,92
PI,Caxingó,33,5706,2795,2911,24
PI,Cocal,53,22605,11421,11184,100
PI,Cocal de Telha,71,4581,2366,2215,23
PI,Cocal dos Alves,53,5516,2794,2722,27
PI,Coivaras,32,5562,2745,2817,23
PI,Colônia do Gurguéia,67,5491,2759,2732,21
PI,Colônia do Piauí,94,6108,3118,2990,32
PI,Conceição do Canindé,90,4927,2483,2444,23
PI,Coronel José Dias,13,5335,2556,2779,30
PI,Corrente,22,20946,10610,10336,103
PI,Cristalândia do Piauí,22,6155,2914,3241,26
PI,Cristino Castro,59,8334,4191,4143,35
PI,Curimatá,26,9258,4656,4602,43
PI,Currais,15,6163,2844,3319,30
PI,Curral Novo do Piauí,56,5279,2554,2725,20
PI,Curralinhos,58,5204,2575,2629,23
PI,Demerval Lobão,54,13258,6970,6288,53
PI,Dirceu Arcoverde,95,6562,3175,3387,23
PI,Dom Expedito Lopes,62,6421,3289,3132,27
PI,Dom Inocêncio,13,7517,3586,3931,39
PI,Domingos Mourão,12,4170,2043,2127,23
PI,Elesbão Veloso,48,13440,7040,6400,61
PI,Eliseu Martins,67,3956,1925,2031,24
PI,Esperantina,41,31851,16467,15384,123
PI,Fartura do Piauí,95,4734,2301,2433,19
PI,Flores do Piauí,72,4247,2146,2101,19
PI,Floresta do Piauí,90,2549,1278,1271,12
PI,Floriano,9,44039,23924,20115,205
PI,Francinópolis,48,4424,2329,2095,19
PI,Francisco Ayres,61,5175,2540,2635,25
PI,Francisco Macedo,68,2787,1425,1362,14
PI,Francisco Santos,28,7070,3560,3510,33
PI,Fronteiras,40,9477,4798,4679,48
PI,Geminiano,62,6385,3214,3171,32
PI,Gilbués,35,8417,4153,4264,41
PI,Guadalupe,46,8687,4461,4226,37
PI,Guaribas,79,4411,2149,2262,26
PI,Hugo Napoleão,52,4397,2226,2171,17
PI,Ilha Grande,4,9371,4596,4775,40
PI,Inhuma,64,12888,6644,6244,52
PI,Ipiranga do Piauí,64,7651,4010,3641,37
PI,Isaías Coelho,57,6288,3190,3098,28
PI,Itainópolis,57,9462,4810,4652,50
PI,Itaueira,72,9192,4589,4603,39
PI,Jacobina do Piauí,38,5109,2585,2524,27
PI,Jaicós,19,13770,7135,6635,57
PI,Jardim do Mulato,43,4457,2249,2208,20
PI,Jatobá do Piauí,7,6769,3275,3494,36
PI,Jerumenha,25,4877,2383,2494,22
PI,Joaquim Pires,41,11742,5828,5914,49
PI,Joca Marques,27,5404,2687,2717,23
PI,José de Freitas,24,34519,17593,16926,152
PI,João Costa,20,3931,1849,2082,16
PI,Juazeiro do Piauí,34,5356,2656,2700,30
PI,Jurema,79,5186,2427,2759,28
PI,Júlio Borges,88,5150,2414,2736,22
PI,Lagoa Alegre,16,8381,4141,4240,35
PI,Lagoa de São Francisco,12,5913,2966,2947,29
PI,Lagoa do Barro do Piauí,69,4562,2185,2377,25
PI,Lagoa do Piauí,54,5218,2573,2645,20
PI,Lagoa do Sítio,89,4756,2360,2396,20
PI,Lagoinha do Piauí,52,3216,1648,1568,14
PI,Landri Sales,46,5098,2626,2472,24
PI,Luzilândia,27,19706,10060,9646,83
PI,Luís Correia,91,26673,13363,13310,117
PI,Madeiro,27,6501,3272,3229,31
PI,Manoel Emídio,67,4869,2388,2481,20
PI,Marcolândia,68,8603,4460,4143,33
PI,Marcos Parente,46,4251,2171,2080,17
PI,Massapê do Piauí,19,6461,3199,3262,28
PI,Matias Olímpio,80,8990,4583,4407,47
PI,Miguel Alves,17,27037,13647,13390,110
PI,Miguel Leão,58,1880,919,961,8
PI,Milton Brandão,12,6933,3302,3631,30
PI,Monsenhor Gil,58,10250,5331,4919,49
PI,Monsenhor Hipólito,28,7358,3723,3635,30
PI,Monte Alegre do Piauí,35,9378,4559,4819,45
PI,Morro Cabeça no Tempo,88,4115,1904,2211,18
PI,Morro do Chapéu do Piauí,41,5741,2885,2856,25
PI,Murici dos Portelas,33,5980,2951,3029,30
PI,Nazaré do Piauí,61,6606,3309,3297,37
PI,Nazária,97,11443,5767,5676,45
PI,Nossa Senhora de Nazaré,96,5981,2929,3052,25
PI,Nossa Senhora dos Remédios,49,8453,4220,4233,31
PI,Nova Santa Rita,69,4127,1984,2143,19
PI,Novo Oriente do Piauí,18,5075,2556,2519,24
PI,Novo Santo Antônio,47,4726,2335,2391,22
PI,Oeiras,5,30545,15999,14546,154
PI,Olho D'Água do Piauí,52,2673,1352,1321,11
PI,Padre Marcos,68,5988,3099,2889,27
PI,Paes Landim,37,4560,2206,2354,15
PI,Pajeú do Piauí,36,3302,1562,1740,15
PI,Palmeira do Piauí,59,4902,2356,2546,19
PI,Palmeirais,8,13118,6691,6427,56
PI,Paquetá,10,4131,2052,2079,23
PI,Parnaguá,26,7577,3660,3917,36
PI,Parnaíba,3,109111,58528,50583,408
PI,Parnaíba,4,5376,2717,2659,22
PI,Passagem Franca do Piauí,74,4164,2159,2005,18
PI,Patos do Piauí,19,5463,2712,2751,29
PI,Pau D'Arco do Piauí,32,5248,2474,2774,22
PI,Paulistana,38,16686,8708,7978,76
PI,Pavussu,72,3849,1822,2027,17
PI,Pedro II,12,34413,17668,16745,155
PI,Pedro Laurentino,69,3263,1585,1678,15
PI,Picos,10,52892,28002,24890,256
PI,Pimenteiras,89,9303,4677,4626,47
PI,Pio IX,29,14891,7586,7305,63
PI,Piracuruca,21,25409,13108,12301,103
PI,Piripiri,11,52083,27285,24798,230
PI,Porto,49,9611,4937,4674,34
PI,Porto Alegre do Piauí,14,2103,1031,1072,9
PI,Prata do Piauí,74,3645,1799,1846,13
PI,Queimada Nova,38,7065,3468,3597,28
PI,Redenção do Gurguéia,15,6950,3461,3489,31
PI,Regeneração,43,14278,7565,6713,64
PI,Riacho Frio,26,4364,2028,2336,18
PI,Ribeira do Piauí,72,3815,1884,1931,16
PI,Ribeiro Gonçalves,44,5466,2676,2790,25
PI,Rio Grande do Piauí,72,5313,2643,2670,23
PI,Santa Cruz do Piauí,62,5797,2979,2818,26
PI,Santa Cruz dos Milagres,74,3896,1979,1917,14
PI,Santa Filomena,35,5485,2629,2856,25
PI,Santa Luz,59,5223,2461,2762,22
PI,Santa Rosa do Piauí,5,4870,2466,2404,21
PI,Santana do Piauí,62,4158,2162,1996,20
PI,Santo Antônio de Lisboa,28,6326,3217,3109,27
PI,Santo Antônio dos Milagres,30,1926,983,943,13
PI,Santo Inácio do Piauí,90,3605,1791,1814,19
PI,Sebastião Barros,22,4601,2160,2441,23
PI,Sebastião Leal,67,4075,1929,2146,17
PI,Sigefredo Pacheco,7,8973,4344,4629,38
PI,Simplício Mendes,37,10128,5119,5009,49
PI,Simões,56,12238,6037,6201,55
PI,Socorro do Piauí,37,4313,2161,2152,23
PI,Sussuapara,62,6682,3428,3254,25
PI,São Braz do Piauí,95,4090,2013,2077,17
PI,São Francisco de Assis do Piauí,90,4661,2297,2364,22
PI,São Francisco do Piauí,94,6187,3051,3136,34
PI,São Félix do Piauí,74,3946,1995,1951,19
PI,São Gonçalo do Gurguéia,35,2891,1391,1500,13
PI,São Gonçalo do Piauí,30,5204,2688,2516,24
PI,São José do Divino,21,5019,2441,2578,25
PI,São José do Peixe,61,3391,1680,1711,17
PI,São José do Piauí,64,5972,3055,2917,32
PI,São João da Canabrava,28,4461,2318,2143,20
PI,São João da Fronteira,21,5269,2594,2675,21
PI,São João da Serra,47,6803,3432,3371,37
PI,São João da Varjota,5,4047,2076,1971,21
PI,São João do Arraial,80,7462,3758,3704,33
PI,São João do Piauí,20,14661,7639,7022,67
PI,São Julião,40,5510,2802,2708,28
PI,São Lourenço do Piauí,13,4874,2360,2514,22
PI,São Luis do Piauí,28,3638,1782,1856,16
PI,São Miguel da Baixa Grande,74,2785,1358,1427,11
PI,São Miguel do Fidalgo,94,3001,1467,1534,13
PI,São Miguel do Tapuio,39,15426,7857,7569,73
PI,São Pedro do Piauí,30,11346,5821,5525,57
PI,São Raimundo Nonato,13,26702,13923,12779,110
PI,Tamboril do Piauí,36,2933,1395,1538,11
PI,Tanque do Piauí,48,2715,1422,1293,14
PI,Teresina,1,118197,64518,53679,363
PI,Teresina,2,117039,64925,52114,372
PI,Teresina,63,110497,60766,49731,369
PI,Teresina,97,103015,57003,46012,421
PI,Teresina,98,131389,71668,59721,388
PI,União,16,37772,19246,18526,167
PI,Uruçuí,14,18456,9579,8877,78
PI,Valença do Piauí,18,17158,9269,7889,75
PI,Vera Mendes,57,3617,1825,1792,15
PI,Vila Nova do Piauí,68,2970,1473,1497,12
PI,Várzea Branca,95,4613,2268,2345,19
PI,Várzea Grande,48,4166,2181,1985,21
PI,Wall Ferraz,62,4265,2116,2149,18
PI,Água Branca,52,15511,8332,7179,59
PR,Abatiá,82,5891,2998,2893,18
PR,Adrianópolis,48,5813,2819,2994,24
PR,Agudos do Sul,144,8561,4258,4303,27
PR,Almirante Tamandaré,171,76017,40028,35989,217
PR,Altamira do Paraná,169,3419,1724,1695,11
PR,Alto Paraná,87,10281,5403,4878,33
PR,Alto Paraíso,117,3257,1634,1623,11
PR,Alto Piquiri,128,7295,3798,3497,27
PR,Altônia,123,14323,7636,6687,51
PR,Alvorada do Sul,77,7395,3836,3559,25
PR,Amaporã,72,4031,2098,1933,13
PR,Ampére,130,14392,7541,6851,48
PR,Anahy,126,2778,1385,1393,10
PR,Andirá,57,16437,8703,7734,56
PR,Antonina,6,15574,7973,7601,55
PR,Antônio Olinto,12,6896,3323,3573,25
PR,Apucarana,28,92276,49916,42360,293
PR,Arapongas,61,82575,44268,38307,247
PR,Arapoti,164,18921,9759,9162,66
PR,Arapuã,93,3209,1612,1597,13
PR,Araruna,74,10718,5493,5225,36
PR,Araucária,50,108986,56377,52609,345
PR,Ariranha do Ivaí,196,2509,1262,1247,8
PR,Assaí,35,12181,6466,5715,44
PR,Assis Chateaubriand,113,26745,14101,12644,87
PR,Astorga,67,19319,10197,9122,63
PR,Atalaia,71,3457,1716,1741,12
PR,Balsa Nova,182,12015,6001,6014,40
PR,Bandeirantes,58,24141,12850,11291,82
PR,Barbosa Ferraz,133,8885,4618,4267,35
PR,Barra do Jacaré,57,2812,1401,1411,9
PR,Barracão,131,7498,3883,3615,30
PR,Bela Vista da Caroba,83,2974,1445,1529,9
PR,Bela Vista do Paraíso,77,12148,6549,5599,43
PR,Bituruna,153,12743,6412,6331,48
PR,Boa Esperança,170,3939,2040,1899,13
PR,Boa Esperança do Iguaçu,115,2326,1128,1198,8
PR,Boa Ventura de São Roque,38,5031,2469,2562,23
PR,Boa Vista da Aparecida,165,6901,3546,3355,20
PR,Bocaiúva do Sul,48,10018,5038,4980,33
PR,Bom Jesus do Sul,131,3654,1795,1859,18
PR,Bom Sucesso,70,5309,2757,2552,18
PR,Bom Sucesso do Sul,73,3013,1514,1499,11
PR,Borrazópolis,110,6242,3208,3034,27
PR,Braganey,126,4288,2144,2144,17
PR,Brasilândia do Sul,128,3343,1750,1593,11
PR,Cafeara,159,2219,1127,1092,7
PR,Cafelândia,126,12907,6645,6262,42
PR,Cafezal do Sul,97,4159,2168,1991,15
PR,Califórnia,76,6927,3623,3304,26
PR,Cambará,25,17902,9479,8423,60
PR,Cambira,28,6353,3271,3082,19
PR,Cambé,78,74455,39872,34583,224
PR,Campina Grande do Sul,195,34728,18082,16646,102
PR,Campina da Lagoa,169,12152,6396,5756,42
PR,Campina do Simão,44,3759,1826,1933,15
PR,Campo Bonito,112,3692,1858,1834,12
PR,Campo Largo,9,92561,48447,44114,294
PR,Campo Magro,182,21222,10934,10288,66
PR,Campo Mourão,31,68817,37154,31663,216
PR,Campo do Tenente,11,6258,3141,3117,20
PR,Candói,203,11917,6004,5913,43
PR,Cantagalo,203,9014,4571,4443,35
PR,Capanema,107,14998,7803,7195,56
PR,Capitão Leônidas Marques,165,11628,6043,5585,34
PR,Carambeí,139,17078,8785,8293,51
PR,Carlópolis,56,11886,6125,5761,38
PR,Cascavel,68,125850,67561,58289,372
PR,Cascavel,143,108245,57937,50308,338
PR,Castro,16,54952,28255,26697,189
PR,Catanduvas,166,7044,3590,3454,28
PR,Centenário do Sul,159,8443,4439,4004,32
PR,Cerro Azul,7,13297,6521,6776,48
PR,Chopinzinho,103,16504,8599,7905,53
PR,Cianorte,88,57740,31105,26635,189
PR,Cidade Gaúcha,127,8759,4503,4256,32
PR,Clevelândia,47,13117,6972,6145,50
PR,Colombo,49,76799,40907,35892,239
PR,Colombo,186,81244,43502,37742,248
PR,Colorado,95,17460,9131,8329,59
PR,Congonhinhas,99,6565,3377,3188,21
PR,Conselheiro Mairinck,79,3235,1657,1578,10
PR,Contenda,50,13309,6750,6559,42
PR,Corbélia,126,13729,7245,6484,46
PR,Cornélio Procópio,26,34888,18763,16125,121
PR,Coronel Domingos Soares,32,5244,2487,2757,18
PR,Coronel Vivida,101,17387,9141,8246,62
PR,Corumbataí do Sul,133,3736,1861,1875,12
PR,Cruz Machado,153,13619,6619,7000,57
PR,Cruzeiro do Iguaçu,115,3625,1839,1786,13
PR,Cruzeiro do Oeste,86,16319,8558,7761,56
PR,Cruzeiro do Sul,91,3939,2054,1885,12
PR,Cruzmaltina,110,2700,1334,1366,11
PR,Curitiba,1,134421,73376,61045,414
PR,Curitiba,2,145639,79234,66405,402
PR,Curitiba,3,136309,74053,62256,388
PR,Curitiba,4,139920,76161,63759,401
PR,Curitiba,145,136948,73768,63180,390
PR,Curitiba,174,136815,73418,63397,413
PR,Curitiba,175,133742,72050,61692,388
PR,Curitiba,176,128276,69013,59263,403
PR,Curitiba,177,145626,78726,66900,445
PR,Curitiba,178,143313,77994,65319,418
PR,Curiúva,119,10707,5358,5349,35
PR,Cândido de Abreu,106,11612,5769,5843,51
PR,Céu Azul,118,8729,4566,4163,27
PR,Diamante D'Oeste,129,3745,1879,1866,17
PR,Diamante do Norte,96,4349,2232,2117,13
PR,Diamante do Sul,112,3457,1687,1770,12
PR,Dois Vizinhos,115,31963,16694,15269,104
PR,Douradina,142,6889,3555,3334,22
PR,Doutor Camargo,154,5156,2720,2436,17
PR,Doutor Ulysses,7,5181,2491,2690,20
PR,Engenheiro Beltrão,116,9945,5176,4769,33
PR,Entre Rios do Oeste,129,3723,1912,1811,15
PR,Enéas Marques,69,5418,2648,2770,17
PR,Esperança Nova,135,2109,1072,1037,7
PR,Espigão Alto do Iguaçu,163,4398,2160,2238,16
PR,Farol,183,2800,1443,1357,10
PR,Faxinal,110,11960,6350,5610,45
PR,Fazenda Rio Grande,144,90524,47692,42832,259
PR,Fernandes Pinheiro,53,5529,2697,2832,21
PR,Figueira,119,6343,3267,3076,19
PR,Flor da Serra do Sul,140,4369,2166,2203,17
PR,Floraí,71,4316,2267,2049,15
PR,Floresta,154,7794,4172,3622,23
PR,Florestópolis,65,9357,4795,4562,34
PR,Flórida,150,2415,1238,1177,9
PR,Formosa do Oeste,120,5991,3103,2888,21
PR,Foz do Iguaçu,46,78408,42470,35938,247
PR,Foz do Iguaçu,104,70884,38428,32456,214
PR,Foz do Iguaçu,147,52001,28076,23925,164
PR,Foz do Jordão,168,4367,2203,2164,17
PR,Francisco Alves,97,6155,3154,3001,21
PR,Francisco Beltrão,69,65516,34696,30820,217
PR,Fênix,116,3855,1987,1868,13
PR,General Carneiro,153,8599,4392,4207,37
PR,Godoy Moreira,132,2823,1434,1389,11
PR,Goioerê,92,20886,11268,9618,72
PR,Goioxim,203,5450,2606,2844,20
PR,Grandes Rios,136,4687,2331,2356,18
PR,Guairaçá,105,5323,2759,2564,17
PR,Guamiranga,29,6566,3253,3313,24
PR,Guapirama,55,4087,2118,1969,12
PR,Guaporema,127,1958,1007,951,6
PR,Guaraci,64,4191,2187,2004,15
PR,Guaraniaçu,112,10983,5647,5336,46
PR,Guarapuava,43,74061,39220,34841,253
PR,Guarapuava,44,57198,30311,26887,187
PR,Guaraqueçaba,6,7464,3557,3907,31
PR,Guaratuba,161,31438,16549,14889,96
PR,Guaíra,90,23273,12625,10648,82
PR,Honório Serpa,101,4336,2097,2239,17
PR,Ibaiti,79,21392,11117,10275,74
PR,Ibema,166,5083,2644,2439,20
PR,Ibiporã,80,39487,21155,18332,119
PR,Icaraíma,172,6934,3603,3331,24
PR,Iguaraçu,67,4048,2076,1972,12
PR,Iguatu,126,2072,1050,1022,8
PR,Imbaú,111,8743,4367,4376,30
PR,Imbituva,29,22995,11662,11333,80
PR,Inajá,91,2531,1317,1214,8
PR,Indianópolis,149,3829,1948,1881,14
PR,Inácio Martins,34,8418,4109,4309,34
PR,Ipiranga,36,11175,5436,5739,42
PR,Iporã,97,11976,6297,5679,47
PR,Iracema do Oeste,120,2407,1236,1171,9
PR,Irati,34,45151,23669,21482,161
PR,Iretama,141,7897,4049,3848,26
PR,Itaguajé,95,3437,1749,1688,11
PR,Itaipulândia,122,9805,5094,4711,30
PR,Itambaracá,57,5254,2686,2568,16
PR,Itambé,81,4960,2615,2345,18
PR,Itapejara d'Oeste,73,9095,4673,4422,28
PR,Itaperuçu,156,21109,10741,10368,64
PR,Itaúna do Sul,96,2768,1413,1355,10
PR,Ivaiporã,93,23485,12587,10898,82
PR,Ivatuba,154,3073,1619,1454,12
PR,Ivaté,172,5452,2793,2659,20
PR,Ivaí,36,10522,5179,5343,37
PR,Jaboti,19,4408,2226,2182,15
PR,Jacarezinho,24,29450,15631,13819,102
PR,Jaguapitã,64,10835,5781,5054,33
PR,Jaguariaíva,18,25861,13435,12426,85
PR,Jandaia do Sul,70,16243,8619,7624,56
PR,Janiópolis,183,4927,2539,2388,16
PR,Japira,79,3903,1971,1932,14
PR,Japurá,149,7384,3831,3553,25
