UF,MUNICIPIO,ZONA,ELEITORES_TOTAL,ELEITORES_FEMININO,ELEITORES_MASCULINO,SECOES
AM,Tonantins,47,11489,5578,5911,39
AM,Uarini,60,9704,4781,4923,33
AM,Urucará,27,12706,6278,6428,39
AM,Urucurituba,3,14229,6848,7381,55
AP,Amapá,1,7574,3658,3916,28
AP,Calçoene,1,8856,4176,4680,30
AP,Cutias,10,6634,3152,3482,23
AP,Ferreira Gomes,12,8085,3978,4107,26
AP,Itaubal,10,9359,4433,4926,32
AP,Laranjal do Jari,7,27926,13760,14166,115
AP,Macapá,2,130440,69303,61137,457
AP,Macapá,10,85858,45495,40363,267
AP,Macapá,14,89660,46965,42695,302
AP,Mazagão,5,21970,10755,11215,96
AP,Oiapoque,4,23390,11818,11572,93
AP,Pedra Branca do Amapari,11,10246,4918,5328,32
AP,Porto Grande,12,15296,7498,7798,46
AP,Pracuúba,1,4184,1972,2212,17
AP,Santana,6,83240,42719,40521,278
AP,Serra do Navio,11,4330,2069,2261,12
AP,Tartarugalzinho,8,11305,5443,5862,46
AP,Vitória do Jari,7,10293,5013,5280,44
BA,Abaré,158,14365,7311,7054,45
BA,Abaíra,105,6747,3479,3268,30
BA,Acajutiba,21,11729,6227,5502,42
BA,Adustina,52,12218,6408,5810,46
BA,Aiquara,147,4309,2154,2155,14
BA,Alagoinhas,163,112600,61556,51044,379
BA,Alcobaça,112,19071,9733,9338,61
BA,Almadina,135,4883,2513,2370,29
BA,Amargosa,36,27744,14709,13035,89
BA,Amélia Rodrigues,192,19274,10260,9014,64
BA,América Dourada,199,12278,6208,6070,43
BA,Anagé,161,18316,9264,9052,89
BA,Andaraí,119,9664,4998,4666,41
BA,Andorinha,45,13186,6556,6630,48
BA,Angical,126,12598,6154,6444,56
BA,Anguera,157,9895,5071,4824,42
BA,Antas,82,10533,5435,5098,37
BA,Antônio Cardoso,143,11958,6300,5658,40
BA,Antônio Gonçalves,53,8628,4386,4242,42
BA,Aporá,44,13818,7050,6768,47
BA,Apuarema,23,6215,3183,3032,18
BA,Aracatu,90,12397,6051,6346,46
BA,Araci,123,39151,20157,18994,135
BA,Aramari,163,9712,4944,4768,35
